club,league,value_on_date,current_value,pct_change,current_value_eur,value_on_date_eur
Manchester City,Premier League,€1.29bn,0.3 %,,,1290000000.0
Arsenal FC,Premier League,€1.27bn,-,,,1270000000.0
Chelsea FC,Premier League,€1.16bn,-2.4 %,,,1160000000.0
Liverpool FC,Premier League,€1.04bn,0.2 %,,,1040000000.0
Tottenham Hotspur,Premier League,€876.50m,-,,,876500000.0
Manchester United,Premier League,€719.15m,0.0 %,,,719150000.0
Newcastle United,Premier League,€709.55m,-0.3 %,,,709550000.0
Nottingham Forest,Premier League,€591.60m,-2.0 %,,,591600000.0
Crystal Palace,Premier League,€536.30m,6.8 %,,,536299999.99999994
Aston Villa,Premier League,€531.50m,-,,,531500000.0
Brighton & Hove Albion,Premier League,€510.00m,-4.0 %,,,510000000.0
AFC Bournemouth,Premier League,€447.10m,-0.1 %,,,447100000.0
Brentford FC,Premier League,€434.40m,-1.6 %,,,434400000.0
Everton FC,Premier League,€423.65m,5.5 %,,,423650000.0
Fulham FC,Premier League,€372.95m,-0.3 %,,,372950000.0
West Ham United,Premier League,€338.95m,4.6 %,,,338950000.0
Sunderland AFC,Premier League,€327.03m,-7.2 %,,,327030000.0
Leeds United,Premier League,€321.03m,-,,,321030000.0
Wolverhampton Wanderers,Premier League,€278.35m,-14.2 %,,,278350000.0
Burnley FC,Premier League,€251.65m,-,,,251650000.0
